id,longitude,latitude,planting_year,Avg_Annual_Rainfall,Avg_Annual_Temp
3466,7.78896,10.26858,2015,2158,25.33
3467,7.78896,10.26858,2015,2158,25.33
3468,7.78896,10.26858,2015,2158,25.33
3469,7.78896,10.26858,2015,2158,25.33
3470,7.78896,10.26858,2016,2892,25.78
3471,7.78896,10.26858,2016,2892,25.78
3472,7.78896,10.26858,2016,2892,25.78
3473,7.78896,10.26858,2016,2892,25.78
3474,7.78896,10.26858,2016,2892,25.78
3475,7.78896,10.26858,2016,2892,25.78
3476,7.78896,10.26858,2016,2892,25.78
3477,7.78896,10.26858,2016,2892,25.78
3478,7.78896,10.26858,2016,2892,25.78
3479,7.78896,10.26858,2016,2892,25.78
3480,7.78896,10.26858,2016,2892,25.78
3481,7.78896,10.26858,2016,2892,25.78
3482,7.78896,10.26858,2016,2892,25.78
3483,7.78896,10.26858,2016,2892,25.78
3484,7.78896,10.26858,2016,2892,25.78
3485,7.78896,10.26858,2016,2892,25.78
3486,7.78896,10.26858,2016,2892,25.78
3487,7.78896,10.26858,2016,2892,25.78
3488,7.78896,10.26858,2016,2892,25.78
3489,7.78896,10.26858,2016,2892,25.78
3490,7.78896,10.26858,2016,2892,25.78
3491,7.78896,10.26858,2016,2892,25.78
3492,7.78896,10.26858,2016,2892,25.78
3493,7.78896,10.26858,2016,2892,25.78
3494,7.78896,10.26858,2016,2892,25.78
3495,7.78896,10.26858,2016,2892,25.78
3496,7.78896,10.26858,2016,2892,25.78
3497,7.78896,10.26858,2016,2892,25.78
3498,7.78896,10.26858,2016,2892,25.78
3499,7.78896,10.26858,2016,2892,25.78
3500,7.78896,10.26858,2016,2892,25.78
3501,7.78896,10.26858,2016,2892,25.78
3502,7.78896,10.26858,2016,2892,25.78
3503,7.78896,10.26858,2016,2892,25.78
3504,7.78896,10.26858,2016,2892,25.78
3505,7.78896,10.26858,2016,2892,25.78
3506,7.78896,10.26858,2016,2892,25.78
3507,7.78896,10.26858,2016,2892,25.78
3508,7.78896,10.26858,2016,2892,25.78
3509,7.78896,10.26858,2016,2892,25.78
